gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,scenario,order111111,order1122,order123,order222
M,2,電資,3,1,1,2,1,0,0,1,2,commuting,cwseny,cwesny,csweny,cwesny
F,4,應用統計,2,1,1,0,0,0,0,1,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
M,2,資工系,2,?,?,?,?,?,?,1,2,wakingup,scnwey,scnwey,scnewy,csnwey
M,2,人社學士班,3,2,1,1,0,0,0,1,2,resting,scenwy,scenwy,scenwy,csenwy
F,2,統計系,3,2,0,2,0,0,0,1,2,resting,cnywse,cnwyes,cnyesw,cnwyes
M,4,食品研究所,4,2,2,2,0,0,0,1,2,wakingup,nycswe,nycsew,ncyesw,nycsew
F,2,物理系,4,1,1,3,0,0,0,1,2,commuting,cwseny,cwesny,csweny,cwesny
F,2,資訊工程系,3,2,2,4,1,0,0,1,3,working,ncwsey,ncswey,ncwesy,cnswey
M,2,資工,3,1,1,3,0,0,0,1,2,working,ncsewy,nceswy,ncsewy,cneswy
M,1,生科系,2,4,3,0,1,2,3,1,2,wakingup,scnwye,scnwey,scnewy,csnwey
F,2,文資系,2,1,0,2,0,0,0,1,2,working,ncwsey,ncswey,ncwesy,cnswey
M,3,工管系,2,2,0,2,0,0,0,1,2,wakingup,csenwy,csenwy,cesnwy,csenwy
F,4,護理科,2,1,2,0,0,0,0,1,2,working,cswney,csnwey,csweny,csnwey
M,4,材料,3,0,1,1,1,0,0,1,2,working,cwnyse,cwnyes,cnwesy,cwnyes
M,2,人社,3,1,2,0,1,0,0,1,3,wakingup,ncswye,ncswey,ncsewy,cnswey
F,2,歷史系,4,3,1,3,1,0,0,1,2,resting,nesywc,nesycw,nescwy,ensycw
F,2,教科系,3,1,0,3,0,0,0,1,2,commuting,csnwye,csnwey,cnsewy,csnwey
F,2,財金,1,0,1,0,1,0,0,3,2,commuting,wcsnye,wcnsey,wcseny,cwnsey
M,3,清大工工,4,3,2,3,1,1,1,1,2,commuting,scewny,scewny,scenwy,csewny
F,2,機械系,4,2,2,4,1,0,0,1,2,wakingup,nscwye,nscwey,ncsewy,nscwey
F,2,商學院,4,2,2,4,0,0,1,1,2,wakingup,cnswey,cnswey,cnsewy,cnswey
M,2,資工,4,1,1,3,1,0,1,1,2,resting,ecsnwy,ecnswy,ecsnwy,censwy
F,4,食品營養科,1,1,1,1,0,0,0,1,2,commuting,ncyswe,ncsyew,ncyesw,cnsyew
M,4,地球科學,4,1,1,1,1,0,0,2,1,commuting,ncwsey,ncswey,ncwesy,cnswey
F,4,金融所,3,2,2,0,0,0,0,1,2,working,ncswey,ncswey,ncsewy,cnswey
F,2,工科,4,2,1,4,0,0,0,1,2,resting,ncswye,ncswey,ncsewy,cnswey
F,3,傳播所,3,2,2,0,0,0,0,1,2,resting,censwy,censwy,censwy,censwy
M,1,經濟系,3,2,1,1,0,0,0,3,2,working,eyswnc,eyswcn,esycnw,eyswcn
M,2,工學院學士班,2,2,1,0,0,0,0,1,2,working,cnswye,cnswey,cnsewy,cnswey
F,2,統計系,3,2,0,2,0,0,0,1,2,wakingup,ncswye,ncswey,ncsewy,cnswey
M,2,資工系,4,?,?,?,?,?,?,3,2,working,ynwesc,ynewcs,ynwces,nyewcs
F,2,英教系,4,4,4,4,0,0,0,1,2,resting,cseynw,cseynw,cesnwy,cseynw
M,4,事業經營管理研究所,2,1,2,0,1,0,0,1,2,commuting,cnswye,cnswey,cnsewy,cnswey
F,2,衛教系,4,1,2,3,0,0,0,1,2,wakingup,nceswy,nceswy,nceswy,cneswy
F,4,金融所,3,2,2,0,0,0,0,1,2,resting,necswy,necswy,nceswy,encswy
F,2,醫環系,3,2,1,2,0,0,0,1,2,commuting,nwscey,nwcsey,nswcey,nwcsey
F,2,文資系,2,1,0,2,0,0,0,1,2,working,ncwsey,ncswey,ncwesy,cnswey
M,1,物理系,3,1,2,2,0,0,0,1,2,commuting,nyeswc,nyescw,neycsw,nyescw
F,4,資工,4,2,3,3,0,0,0,1,2,commuting,csnewy,csenwy,cnsewy,csenwy
F,2,經濟系,2,1,1,1,0,0,0,1,2,wakingup,wncsey,wncsey,wcnesy,nwcsey
M,2,資工11,3,2,1,1,1,0,1,1,2,wakingup,ncswey,ncswey,ncsewy,cnswey
F,2,外語,4,4,2,1,0,0,0,1,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
M,2,資工系,4,4,1,1,0,0,0,1,2,commuting,scewny,scewny,scenwy,csewny
M,3,資工,4,4,4,0,0,0,0,1,2,working,scnewy,scenwy,scnewy,csenwy
F,2,經濟,3,2,0,4,0,0,0,2,3,resting,csewny,csewny,cesnwy,csewny
M,2,不分系,2,1,2,1,1,0,1,2,1,wakingup,esycwn,escynw,esycnw,escynw
M,2,資工系,4,1,1,4,0,0,0,1,2,commuting,ncswey,ncswey,ncsewy,cnswey
F,2,特教24,4,4,3,1,0,2,0,1,2,wakingup,scwney,scnwey,scweny,csnwey
F,2,文資系,2,1,0,2,0,0,0,1,2,commuting,ncswey,ncswey,ncsewy,cnswey
M,2,資工系,2,1,1,1,0,0,0,1,2,wakingup,nwycse,nwcyes,nwyces,nwcyes
M,2,資工系,4,?,?,?,?,?,?,3,2,wakingup,ynwesc,ynewcs,ynwces,nyewcs
F,2,教科系,3,2,0,0,0,0,1,2,1,commuting,cnwsye,cnswey,cnwesy,cnswey
M,2,資訊工程系,2,2,1,1,0,0,0,1,2,working,csweyn,csewny,csweny,csewny
F,4,機械,1,1,0,0,1,0,0,1,2,working,scewyn,scewny,scenwy,csewny
M,2,管理科學系,2,2,1,1,0,0,0,1,2,wakingup,cswney,csnwey,csweny,csnwey
F,0,國小,0,0,0,0,0,0,0,3,2,commuting,csweny,csewny,csweny,csewny
M,2,資工系,4,4,1,4,0,0,0,1,2,wakingup,csenyw,csenwy,cesnwy,csenwy
M,2,電機,3,1,1,4,0,0,0,1,2,wakingup,ncswye,ncswey,ncsewy,cnswey
F,2,清華大學 工業工程與工程管理學系,3,1,2,1,1,0,0,1,2,commuting,cnswey,cnswey,cnsewy,cnswey
M,4,工業工程,0,0,0,0,0,0,0,1,2,working,nwcsye,nwcsey,ncwesy,nwcsey
M,2,電子物理系,4,3,2,2,1,0,0,3,2,commuting,cnwsye,cnswey,cnwesy,cnswey
F,3,服科所,3,2,1,0,0,0,0,1,2,working,ncwsey,ncswey,ncwesy,cnswey
F,2,電機所,3,0,4,2,1,1,1,1,2,working,cnwyse,cnwyes,cnwesy,cnwyes
M,2,資工,3,1,1,1,2,0,0,1,2,working,scynwe,scnyew,scyenw,csnyew
F,4,護理科,2,1,2,0,0,0,0,1,2,commuting,cswney,csnwey,csweny,csnwey
M,2,數學系,4,?,?,?,?,?,?,1,2,resting,scnewy,scenwy,scnewy,csenwy
M,2,資工系,4,1,1,4,0,0,0,1,2,resting,ncswey,ncswey,ncsewy,cnswey
F,2,資工系,4,2,1,3,0,0,0,1,2,resting,csewyn,csewny,cesnwy,csewny
F,2,法律系,3,2,2,0,1,0,0,1,2,wakingup,ncwsey,ncswey,ncwesy,cnswey
F,2,資工系,4,3,1,1,0,0,0,1,2,resting,scewny,scewny,scenwy,csewny
M,2,資工系,4,1,1,4,1,0,0,1,2,commuting,scenyw,scenwy,scenwy,csenwy
F,2,化工系,2,1,1,1,0,0,0,1,2,commuting,cnwsey,cnswey,cnwesy,cnswey
F,2,資工,3,0,0,4,0,0,0,1,2,commuting,ecswny,ecswny,ecsnwy,ceswny
F,4,工業管理科,2,0,0,0,0,0,0,1,2,resting,cseywn,cseynw,cesnwy,cseynw
F,2,醫學系,4,3,2,3,0,0,0,1,2,working,csnewy,csenwy,cnsewy,csenwy
F,2,中山大學化學系,4,2,1,3,0,0,0,1,2,commuting,scewny,scewny,scenwy,csewny
F,4,資料處理科,2,1,0,1,0,0,0,1,2,wakingup,wncsey,wncsey,wcnesy,nwcsey
F,2,經濟,3,2,0,4,0,0,0,2,3,commuting,csewyn,csewny,cesnwy,csewny
F,4,會計系,2,1,1,1,0,0,0,1,2,resting,csnwey,csnwey,cnsewy,csnwey
F,0,國小,0,0,0,0,0,0,0,3,2,wakingup,csnwey,csnwey,cnsewy,csnwey
F,2,行銷系,4,1,2,3,0,0,0,1,2,commuting,cnsewy,cneswy,cnsewy,cneswy
M,2,化學,2,1,0,2,1,0,0,3,2,working,cwnsye,cwnsey,cnwesy,cwnsey
F,2,資工系,4,3,0,4,0,0,0,1,2,commuting,nscewy,nscewy,ncsewy,nscewy
F,2,醫學檢驗生物技術學系,4,4,4,2,2,0,0,1,3,wakingup,ncswey,ncswey,ncsewy,cnswey
M,2,電機系,2,1,1,1,1,0,0,3,1,wakingup,ncswey,ncswey,ncsewy,cnswey
M,3,清大工工,4,3,2,3,1,1,1,1,2,resting,scewny,scewny,scenwy,csewny
M,4,材料,4,3,3,2,2,0,0,2,1,commuting,cswney,csnwey,csweny,csnwey
F,2,數學系,4,4,4,0,1,1,2,1,2,commuting,cswnye,csnwey,csweny,csnwey
F,2,教育系,3,2,3,1,0,0,0,1,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
F,2,資工,2,1,1,0,0,0,0,1,2,commuting,ecswyn,ecswny,ecsnwy,ceswny
M,3,工科所,2,1,1,2,0,0,0,1,2,commuting,cwnesy,cwensy,cnwesy,cwensy
F,2,特教23,3,2,2,2,0,0,0,1,2,working,csnewy,csenwy,cnsewy,csenwy
F,1,心諮系,2,2,1,0,0,0,0,1,2,commuting,scewny,scewny,scenwy,csewny
F,2,工工系,3,0,1,2,0,0,0,1,2,resting,ncwsey,ncswey,ncwesy,cnswey
F,2,心諮系,2,1,0,1,0,0,0,1,2,resting,ceswny,ceswny,cesnwy,ceswny
F,2,服科所,2,1,0,1,0,0,0,1,2,working,csewny,csewny,cesnwy,csewny
F,2,資工系,3,2,1,0,0,0,0,1,2,working,csnywe,csnyew,cnsewy,csnyew
M,2,電機,4,2,2,1,0,0,0,1,2,resting,cwesyn,cwesny,cewnsy,cwesny
F,2,電機系,4,1,1,2,0,0,0,1,2,commuting,wcsnye,wcnsey,wcseny,cwnsey
F,2,資工系,4,1,0,3,0,0,0,1,2,resting,csweny,csewny,csweny,csewny
M,2,資工系,4,2,0,2,0,0,0,1,2,resting,ncsewy,nceswy,ncsewy,cneswy
F,2,資工系,3,1,1,2,0,0,0,1,2,wakingup,cnwsey,cnswey,cnwesy,cnswey
M,4,電機系,2,0,0,2,0,0,0,1,2,commuting,nwcsey,nwcsey,ncwesy,nwcsey
F,2,資工系,2,?,?,?,?,?,?,1,3,commuting,csenwy,csenwy,cesnwy,csenwy
M,2,資訊工程系,2,2,1,1,0,0,0,1,2,commuting,secwny,secwny,scenwy,escwny
M,4,工業工程,0,0,0,0,0,0,0,1,2,resting,nwcsye,nwcsey,ncwesy,nwcsey
F,2,資工系,3,1,1,2,0,0,0,1,2,resting,cnsewy,cneswy,cnsewy,cneswy
F,2,資工,2,1,1,0,0,0,0,1,2,wakingup,cswnye,csnwey,csweny,csnwey
M,2,資工,3,1,1,1,2,0,0,1,2,commuting,scynwe,scnyew,scyenw,csnyew
M,2,材料系 ,2,0,1,1,0,0,0,1,2,wakingup,ncwsey,ncswey,ncwesy,cnswey
M,2,電機系,2,1,1,1,1,0,0,3,1,resting,ncswey,ncswey,ncsewy,cnswey
M,3,資工所,2,1,0,2,0,0,0,2,1,working,sncwye,sncwey,scnewy,nscwey
M,2,電機系,4,2,1,4,0,0,0,1,2,commuting,csewny,csewny,cesnwy,csewny
F,2,金融系,2,2,1,0,0,0,0,1,2,working,csnwye,csnwey,cnsewy,csnwey
F,2,電工系,3,3,2,0,0,0,0,1,2,commuting,cwnsye,cwnsey,cnwesy,cwnsey
F,4,已畢業,2,0,1,0,1,0,0,1,2,commuting,cnsywe,cnsyew,cnsewy,cnsyew
F,4,中文系,2,0,2,0,0,0,0,1,2,commuting,ncwsye,ncswey,ncwesy,cnswey
M,4,電機系,2,0,0,2,0,0,0,1,2,resting,nwcsey,nwcsey,ncwesy,nwcsey
F,2,金融系,2,2,1,0,0,0,0,1,2,wakingup,csnwye,csnwey,cnsewy,csnwey
F,4,中文,2,2,1,0,0,0,0,1,2,wakingup,csnwye,csnwey,cnsewy,csnwey
F,4,EE,4,1,4,2,1,0,1,1,3,working,ncswye,ncswey,ncsewy,cnswey
F,2,特教23,3,2,2,2,0,0,0,1,2,wakingup,csnewy,csenwy,cnsewy,csenwy
F,2,工工系,3,2,2,1,0,0,0,2,1,wakingup,ncwsey,ncswey,ncwesy,cnswey
M,2,人社,3,1,2,0,1,0,0,1,3,commuting,ncswye,ncswey,ncsewy,cnswey
M,2,資工系,3,1,0,1,0,0,0,1,2,commuting,cwsney,cwnsey,csweny,cwnsey
M,2,電機,4,2,2,2,0,0,0,1,2,working,ncsewy,nceswy,ncsewy,cneswy
M,2,資工系,4,2,2,2,0,0,0,1,2,resting,csenyw,csenwy,cesnwy,csenwy
M,4,机械系,1,0,1,0,0,0,1,1,2,working,nscwey,nscwey,ncsewy,nscwey
F,2,資工系,3,1,1,2,0,0,0,1,2,wakingup,cesnwy,censwy,cesnwy,censwy
M,2,電機,3,1,1,4,0,0,0,1,2,commuting,ncswye,ncswey,ncsewy,cnswey
F,2,資工,3,2,2,1,0,0,0,1,2,resting,csnwey,csnwey,cnsewy,csnwey
F,2,行銷系,4,1,2,3,0,0,0,1,2,working,cnsewy,cneswy,cnsewy,cneswy
F,1,電機,3,1,1,1,0,0,0,1,2,commuting,scewyn,scewny,scenwy,csewny
M,2,管理科學系,2,2,1,1,0,0,0,1,2,resting,scewny,scewny,scenwy,csewny
F,2,經濟系,2,1,1,1,0,0,0,1,2,resting,necswy,necswy,nceswy,encswy
F,2,機械系,4,2,2,4,1,0,0,1,2,resting,ncswye,ncswey,ncsewy,cnswey
F,0,國小,0,0,0,0,0,0,0,3,2,working,csweny,csewny,csweny,csewny
M,3,材料所,4,2,2,2,0,0,0,1,2,wakingup,csnewy,csenwy,cnsewy,csenwy
M,2,土木,4,1,3,3,1,0,0,1,2,wakingup,ncswey,ncswey,ncsewy,cnswey
M,2,人社系,4,2,2,2,0,0,0,1,2,wakingup,csweny,csewny,csweny,csewny
M,2,資工系,4,2,2,2,0,0,0,1,2,wakingup,cswney,csnwey,csweny,csnwey
M,2,資工系,3,2,2,2,0,0,0,1,2,resting,csnwey,csnwey,cnsewy,csnwey
F,2,工科,4,2,1,4,0,0,0,1,2,wakingup,ncswye,ncswey,ncsewy,cnswey
M,2,資工系,4,?,?,?,?,?,?,3,2,commuting,nywesc,nyewcs,nwyces,nyewcs
M,2,資工系,3,2,2,2,0,0,0,1,2,wakingup,csweny,csewny,csweny,csewny
F,2,工科,4,2,1,4,0,0,0,1,2,commuting,ncswye,ncswey,ncsewy,cnswey
F,4,工業管理科,2,0,0,0,0,0,0,1,2,commuting,csewyn,csewny,cesnwy,csewny
M,3,資工系,3,1,1,2,1,0,0,1,2,working,ncwsey,ncswey,ncwesy,cnswey
M,2,資工,3,1,1,3,0,0,0,1,2,commuting,ncsewy,nceswy,ncsewy,cneswy
M,2,資工系,4,4,1,1,0,0,0,1,2,working,csnwey,csnwey,cnsewy,csnwey
M,3,社畜,4,1,0,2,0,0,1,1,2,wakingup,nwecsy,nwcesy,newcsy,nwcesy
M,2,資財系,4,3,2,0,0,0,0,1,2,wakingup,csenwy,csenwy,cesnwy,csenwy
F,2,數學系,4,4,4,0,1,1,2,1,2,wakingup,cswnye,csnwey,csweny,csnwey
F,4,護理科,2,1,2,0,0,0,0,1,2,resting,csnwey,csnwey,cnsewy,csnwey
F,2,醫學系,3,2,2,0,0,0,0,3,2,resting,csnwey,csnwey,cnsewy,csnwey
F,3,資工系,2,0,1,2,0,0,0,1,2,resting,scwyne,scwyen,scweny,cswyen
M,2,電機系,4,3,1,2,1,0,0,2,1,wakingup,scwnye,scnwey,scweny,csnwey
M,2,資工系,3,?,?,?,?,?,?,1,3,working,csnwye,csnwey,cnsewy,csnwey
M,4,經濟,4,2,3,2,1,0,0,1,2,wakingup,nwcsye,nwcsey,ncwesy,nwcsey
M,3,清大工工,4,3,2,3,1,1,1,1,2,wakingup,scewny,scewny,scenwy,csewny
M,2,經濟,3,2,1,1,0,0,0,1,3,working,wncsey,wncsey,wcnesy,nwcsey
F,4,中文,2,2,1,0,0,0,0,1,2,resting,scnwye,scnwey,scnewy,csnwey
F,2,資工系,4,2,1,3,0,0,0,1,2,wakingup,cwnyse,cwnyes,cnwesy,cwnyes
M,2,人社系,4,2,2,2,0,0,0,1,2,resting,csewny,csewny,cesnwy,csewny
F,4,中文,3,2,2,1,2,0,0,1,2,working,ncwsey,ncswey,ncwesy,cnswey
F,2,資工系,4,4,4,4,0,0,0,1,2,working,csnwye,csnwey,cnsewy,csnwey
F,2,資工,3,?,?,?,?,?,?,1,2,working,csenwy,csenwy,cesnwy,csenwy
M,3,交大應化系,3,2,2,2,0,0,0,1,2,resting,ecsnyw,ecnswy,ecsnwy,censwy
F,4,工業管理科,2,0,0,0,0,0,0,1,2,wakingup,cewnsy,cenwsy,cewnsy,cenwsy
M,2,資工系,4,4,1,4,0,0,0,1,2,commuting,csenyw,csenwy,cesnwy,csenwy
M,4,机械系,1,0,1,0,0,0,1,1,2,resting,ncswye,ncswey,ncsewy,cnswey
F,2,資訊工程系,3,2,2,1,0,0,0,1,2,working,cswney,csnwey,csweny,csnwey
M,2,資工系,4,3,3,1,1,0,0,1,2,commuting,csewny,csewny,cesnwy,csewny
M,2,資工系,4,4,3,4,2,0,0,1,2,resting,scnwye,scnwey,scnewy,csnwey
F,4,會計系,2,1,1,1,0,0,0,1,2,wakingup,cswney,csnwey,csweny,csnwey
F,2,文資系,2,1,0,2,0,0,0,1,2,commuting,ncswey,ncswey,ncsewy,cnswey
F,4,中文系,2,0,2,0,0,0,0,1,2,working,ncwsye,ncswey,ncwesy,cnswey
M,3,生醫所,4,1,2,0,0,0,0,1,2,wakingup,ncswey,ncswey,ncsewy,cnswey
