gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222
F,3,傳播所,3,2,2,0,0,0,0,1,2,3,wakingup,ncwyes,ncwyes,ncwesy,cnwyes
F,1,資工,3,1,3,0,0,0,0,1,2,3,working,ncsewy,nceswy,ncsewy,cneswy
F,2,教科系,3,1,0,3,0,0,0,1,2,3,resting,cesynw,cesynw,cesnwy,cesynw
M,1,電機,2,1,1,1,0,0,0,1,2,3,resting,nycwse,nycwes,ncyesw,nycwes
F,3,資工系,2,0,1,2,0,0,0,1,2,3,resting,scwyne,scwyen,scweny,cswyen
F,3,服科所,3,2,1,0,0,0,0,1,2,3,working,ncwsey,ncswey,ncwesy,cnswey
M,2,土木,4,1,3,3,1,0,0,1,2,3,wakingup,ncswey,ncswey,ncsewy,cnswey
M,2,資工系,4,4,1,1,0,0,0,1,2,3,resting,scewny,scewny,scenwy,csewny
F,4,應用化學,3,1,1,0,1,0,0,1,2,3,working,nwcsye,nwcsey,ncwesy,nwcsey
F,0,國小,0,0,0,0,0,0,0,3,2,1,working,csweny,csewny,csweny,csewny
M,2,資工系,4,?,?,?,?,?,?,1,2,3,resting,csnwey,csnwey,cnsewy,csnwey
M,2,計財系,3,2,1,2,0,0,0,1,2,3,wakingup,csynwe,csnyew,csyenw,csnyew
F,2,衛教系,4,1,2,3,0,0,0,1,2,3,wakingup,nceswy,nceswy,nceswy,cneswy
F,2,商學院,4,2,2,4,0,0,1,1,2,3,wakingup,cnswey,cnswey,cnsewy,cnswey
F,4,中文,3,2,2,1,2,0,0,1,2,3,working,ncwsey,ncswey,ncwesy,cnswey
M,2,資工系,4,?,?,?,?,?,?,3,2,1,wakingup,ynwesc,ynewcs,ynwces,nyewcs
F,2,中山大學化學系,4,2,1,3,0,0,0,1,2,3,working,nwyecs,nweycs,nwyces,nweycs
M,2,材料系 ,2,0,1,1,0,0,0,1,2,3,resting,cwsney,cwnsey,csweny,cwnsey
M,2,資工系,3,?,?,?,?,?,?,1,3,2,resting,csewyn,csewny,cesnwy,csewny
M,2,資工系,4,1,1,4,1,0,0,1,2,3,wakingup,csnywe,csnyew,cnsewy,csnyew
M,1,電機,2,1,1,1,0,0,0,1,2,3,commuting,nwcesy,nwcesy,ncwesy,nwcesy
M,3,資工所,2,1,0,2,0,0,0,2,1,3,commuting,swcnye,swcney,scweny,swcney
M,3,資工,4,4,4,0,0,0,0,1,2,3,wakingup,scnewy,scenwy,scnewy,csenwy
M,2,電機系,4,2,1,4,0,0,0,1,2,3,commuting,csewny,csewny,cesnwy,csewny
F,1,經濟系,3,2,2,1,1,1,0,3,2,1,working,scewyn,scewny,scenwy,csewny
M,3,生醫所,4,1,2,0,0,0,0,1,2,3,resting,csweyn,csewny,csweny,csewny
M,1,生科系,2,4,3,0,1,2,3,1,2,3,wakingup,scnwye,scnwey,scnewy,csnwey
F,2,資工系,3,3,2,1,0,0,0,1,2,3,resting,escwyn,escwny,ecsnwy,escwny
F,1,電機,3,1,1,1,0,0,0,1,2,3,resting,scewyn,scewny,scenwy,csewny
M,2,資工,4,?,?,?,?,?,?,1,2,3,wakingup,necswy,necswy,nceswy,encswy
F,2,工工系,3,2,2,1,0,0,0,2,1,3,wakingup,ncwsey,ncswey,ncwesy,cnswey
F,4,已畢業,2,0,1,0,1,0,0,1,2,3,commuting,cnsywe,cnsyew,cnsewy,cnsyew
M,3,清大工工,4,3,2,3,1,1,1,1,2,3,working,cnwesy,cnewsy,cnwesy,cnewsy
M,2,經濟,3,2,1,1,0,0,0,1,3,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
F,2,資工系,4,3,1,1,0,0,0,1,2,3,wakingup,cwnsey,cwnsey,cnwesy,cwnsey
F,2,資工系,2,?,?,?,?,?,?,1,3,2,wakingup,cnswey,cnswey,cnsewy,cnswey
F,2,資工系,2,?,?,?,?,?,?,1,3,2,commuting,csenwy,csenwy,cesnwy,csenwy
M,4,食品研究所,4,2,2,2,0,0,0,1,2,3,wakingup,nycswe,nycsew,ncyesw,nycsew
M,2,數學系,4,?,?,?,?,?,?,1,2,3,working,cnsewy,cneswy,cnsewy,cneswy
F,2,人社,2,2,2,0,0,0,0,1,2,3,wakingup,csnywe,csnyew,cnsewy,csnyew
F,4,建國,4,1,0,2,0,0,0,1,2,3,wakingup,csewny,csewny,cesnwy,csewny
M,3,交大應化系,3,2,2,2,0,0,0,1,2,3,working,ecsnyw,ecnswy,ecsnwy,censwy
F,2,資工系,3,1,0,2,0,0,0,3,1,2,resting,ceswny,ceswny,cesnwy,ceswny
M,1,電機,2,1,1,1,0,0,0,1,2,3,wakingup,nwcyse,nwcyes,ncwesy,nwcyes
F,4,應用統計,2,1,1,0,0,0,0,1,2,3,resting,cswney,csnwey,csweny,csnwey
M,2,資工,4,1,1,3,1,0,1,1,2,3,resting,ecsnwy,ecnswy,ecsnwy,censwy
M,2,計財,2,0,0,2,0,0,0,1,3,2,commuting,scewyn,scewny,scenwy,csewny
M,2,資工系,2,1,1,1,0,0,0,1,2,3,working,ncwsey,ncswey,ncwesy,cnswey
M,3,工管系,2,2,0,2,0,0,0,1,2,3,wakingup,csenwy,csenwy,cesnwy,csenwy
F,2,醫學系,3,2,2,0,0,0,0,3,2,1,working,cswney,csnwey,csweny,csnwey
M,4,無,2,1,2,0,1,0,1,1,3,2,resting,scwney,scnwey,scweny,csnwey
